,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
197,Oyo Rooms,"Job Security, Work Satisfaction, Company Culture",,3.0,3.9k,14k,259,163,Internet | Gurugram +121 other locations,NA
198,Aditya Birla Sun Life Insurance,"Work Life Balance, Company Culture, Job Security",,4.0,3.9k,10.4k,187,1,Insurance | Mumbai +503 other locations,NA
199,American Express,"Company Culture, Work Life Balance, Job Security",Promotions,4.1,3.9k,25.7k,432,47,Financial Services | Gurugram +54 other locations,NA
200,Kyndryl,"Work Life Balance, Company Culture, Skill Development",Promotions,4.0,3.9k,27.4k,236,8,IT Services & Consulting | Bengaluru +39 other locations,NA
201,ADP Private Limited,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",3.9,3.8k,22.3k,295,59,Software Product | Hyderabad +41 other locations,NA
202,Subros,"Job Security, Company Culture, Skill Development","Salary, Promotions",3.8,3.8k,12.8k,221,5,Auto Components | Noida +88 other locations,NA
203,PNB MetLife,"Job Security, Company Culture, Work Satisfaction",,3.3,3.8k,8.1k,196,21,Insurance | New Delhi +433 other locations,NA
204,Cloudnine Hospital,"Company Culture, Skill Development, Work Life Balance",,4.5,3.8k,3k,1.5k,8,Healthcare | Bengaluru +46 other locations,NA
205,Aditya Birla Capital,Promotions,,3.8,3.8k,14.4k,265,1,NBFC | Mumbai +346 other locations,NA
206,Altruist Technologies,"Work Life Balance, Job Security, Skill Development",,4.4,3.8k,8.3k,724,6,BPO | Bengaluru +43 other locations,NA
207,XpressBees,"Work Life Balance, Skill Development, Company Culture",,4.2,3.8k,8.3k,448,11,Logistics | Pune +479 other locations,NA
208,Viatris,"Salary, Job Security, Work Life Balance",,4.1,3.8k,14.4k,171,3,Pharma | Hyderabad +80 other locations,NA
209,PVR INOX,Promotions,,3.9,3.8k,9.6k,219,34,Media & Entertainment | New Delhi +151 other locations,NA
210,Escorts Kubota Limited,"Work Life Balance, Company Culture, Skill Development",Promotions,4.1,3.8k,13.8k,306,1,Industrial Machinery | Faridabad +158 other locations,NA
211,KPIT Technologies,"Job Security, Promotions, Work Satisfaction",,2.8,3.8k,23.9k,350,26,Software Product | Pune +43 other locations,NA
212,Reliance Communications,"Skill Development, Company Culture, Work Life Balance",Promotions,4.0,3.8k,9.5k,107,--,Telecom | Mumbai +465 other locations,NA
213,Maersk,"Company Culture, Work Life Balance",Promotions,4.0,3.8k,19.5k,253,49,Logistics | Chennai +50 other locations,NA
214,Birlasoft,"Promotions, Salary, Work Satisfaction",,3.4,3.8k,30k,317,603,IT Services & Consulting | Pune +50 other locations,NA
215,JK Cement,Salary,,4.0,3.7k,10.4k,348,1,Building Material | New Delhi +333 other locations,NA
216,Synechron,"Job Security, Promotions, Work Satisfaction",,3.4,3.7k,28.8k,408,104,IT Services & Consulting | Pune +33 other locations,NA
217,Glenmark Pharmaceuticals,Promotions,,3.8,3.7k,12.2k,185,106,Pharma | Mumbai +188 other locations,NA
218,Kotak Mahindra Life Insurance Company,"Promotions, Work Satisfaction, Company Culture",,3.5,3.7k,12.7k,264,221,Insurance | Mumbai +258 other locations,NA
219,Bharat Electronics,"Work Life Balance, Company Culture, Work Satisfaction",,4.2,3.7k,12.7k,251,1,Electronics Manufacturing | Bengaluru +87 other locations,NA
220,Sodexo,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.0,3.7k,10k,210,1.1k,Facility Management Services | Mumbai +161 other locations,NA
221,Dabur,Salary,Promotions,3.8,3.7k,9k,338,34,FMCG | New Delhi +319 other locations,NA
222,Cogent E Services,"Company Culture, Work Satisfaction, Promotions",,3.1,3.7k,10.4k,299,2,BPO | Noida +57 other locations,NA
223,PhonePe,"Salary, Work Life Balance, Company Culture",,4.0,3.6k,13.6k,435,80,FinTech | Bengaluru +400 other locations,NA
224,Godrej & Boyce Manufacturing,Job Security,Promotions,3.9,3.6k,15.1k,236,58,Consumer Electronics & Appliances | Mumbai +169 other locations,NA
225,Abbott,"Work Life Balance, Skill Development, Salary",Promotions,4.1,3.6k,12k,185,227,Pharma | Mumbai +214 other locations,NA
226,Samvardhana Motherson Group,Job Security,"Promotions, Company Culture, Work Satisfaction",3.7,3.6k,12k,260,42,Auto Components | Noida +94 other locations,NA
227,Ipca Laboratories,"Job Security, Work Life Balance","Promotions, Salary",3.8,3.6k,11.6k,215,40,Pharma | Mumbai +162 other locations,NA
228,Aarti Industries,"Job Security, Work Life Balance, Company Culture",,4.1,3.6k,14.6k,335,43,Agro Chemicals | Bharuch +59 other locations,NA
229,Blinkit,Salary,"Promotions, Job Security",3.8,3.6k,14k,376,--,Internet | Gurugram +157 other locations,NA
230,Reliance Projects & Property Management Services,"Work Life Balance, Job Security, Skill Development",Promotions,4.0,3.6k,7.4k,215,--,Other | Kolkata +624 other locations,NA
231,UNO Minda,"Job Security, Company Culture, Skill Development",Promotions,4.0,3.6k,11.6k,267,71,Auto Components | Pune +110 other locations,NA
232,Reliance Digital,"Skill Development, Job Security, Company Culture",,4.1,3.6k,8.3k,174,2,Retail | Mumbai +382 other locations,NA
233,MRF Tyres,"Company Culture, Work Satisfaction, Work Life Balance",,3.6,3.6k,13.2k,383,12,Auto Components | Chennai +194 other locations,NA
234,IGT Solutions,"Promotions, Salary, Company Culture",,3.2,3.6k,13.8k,257,93,BPO | New Delhi +47 other locations,NA
235,ArcelorMittal Nippon Steel India,"Work Life Balance, Job Security, Company Culture",,4.1,3.5k,12.4k,280,8,Iron & Steel | Surat +87 other locations,NA
236,Indian Oil Corporation,"Company Culture, Work Life Balance, Work Satisfaction",,4.4,3.5k,7.9k,243,--,Oil & Gas | New Delhi +310 other locations,NA
237,Johnson Controls,"Promotions, Company Culture, Work Satisfaction",,3.5,3.5k,17.9k,307,6,Industrial Automation | Pune +58 other locations,NA
238,Alkem Laboratories,"Work Life Balance, Salary",,3.9,3.5k,9.9k,202,18,Pharma | Mumbai +199 other locations,NA
239,"NTT DATA, Inc.","Work Life Balance, Company Culture, Job Security",Promotions,3.9,3.5k,21.3k,157,116,IT Services & Consulting | Bengaluru +37 other locations,NA
240,Honda Motorcycle & Scooter,"Job Security, Company Culture, Work Life Balance",Promotions,4.1,3.5k,11.2k,207,--,Automobile | Gurugram +300 other locations,NA
241,[24]7.ai,"Promotions, Salary, Work Satisfaction",,3.4,3.5k,11.7k,192,69,Software Product | Bengaluru +36 other locations,NA
242,Vishal Mega Mart,Salary,"Company Culture, Work Satisfaction, Job Security",3.7,3.5k,6.2k,217,8,Retail | New Delhi +379 other locations,NA
243,Hindustan Coca Cola Beverages,"Salary, Skill Development, Company Culture",Promotions,4.0,3.4k,8k,185,52,Beverage | Bengaluru +263 other locations,NA
244,UBS,"Work Life Balance, Company Culture","Promotions, Job Security",3.8,3.4k,32.2k,378,2,Financial Services | Pune +19 other locations,NA
245,Barclays,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",3.7,3.4k,33.7k,324,--,Banking | Pune +38 other locations,NA
246,Bajaj General Insurance Limited,"Promotions, Work Satisfaction, Work Life Balance",,3.7,3.4k,10.8k,141,83,Insurance | Pune +306 other locations,NA
247,IndusInd Nippon Life Insurance,"Job Security, Company Culture, Work Satisfaction",,3.4,3.4k,8.1k,172,1,Mumbai +491 other locations,NA
248,DTDC Express,"Promotions, Salary, Company Culture",,3.7,3.4k,9k,199,40,Logistics | New Delhi +273 other locations,NA
249,ABB,"Work Life Balance, Job Security, Company Culture",Promotions,4.0,3.4k,18.6k,297,325,Industrial Machinery | Bengaluru +108 other locations,NA
250,Ceat Tyres,"Job Security, Company Culture, Skill Development","Promotions, Salary",3.9,3.4k,13.1k,214,48,Auto Components | Nagpur +141 other locations,NA
251,TVS Credit Services Ltd,"Salary, Company Culture, Work Life Balance",,4.2,3.4k,7.5k,164,38,NBFC | Chennai +443 other locations,NA
252,Ford Motor,"Company Culture, Work Life Balance, Salary",Promotions,4.2,3.4k,15.5k,176,1,Automobile | Chennai +130 other locations,NA
253,RSPL Group,"Job Security, Work Life Balance, Company Culture",Promotions,4.0,3.4k,9.8k,261,84,FMCG | Kanpur +256 other locations,NA
254,NatWest Group,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",3.9,3.4k,21.6k,238,48,Banking | Gurugram +29 other locations,NA
255,AGS Health,"Company Culture, Job Security, Work Life Balance",Promotions,4.0,3.3k,14.7k,218,40,Analytics & KPO | Chennai +64 other locations,NA
256,HARMAN,"Work Life Balance, Company Culture",Promotions,3.8,3.3k,24.2k,295,111,Consumer Electronics & Appliances | Bengaluru +42 other locations,NA
257,Alstom Transportation,Job Security,"Promotions, Company Culture, Work Satisfaction",3.7,3.3k,15.6k,283,205,Engineering & Construction | Bengaluru +80 other locations,NA
258,Conduent,"Promotions, Salary, Skill Development",,3.4,3.3k,17.4k,240,304,BPO | Bengaluru +35 other locations,NA
259,Croma,"Work Life Balance, Job Security, Skill Development",Promotions,3.8,3.3k,9.4k,190,49,Retail | Mumbai +191 other locations,NA
260,Niva Bupa Health Insurance Company,"Work Life Balance, Company Culture, Work Satisfaction",,4.0,3.3k,8.6k,381,85,Insurance | New Delhi +323 other locations,NA
261,InterGlobe Aviation,"Promotions, Salary, Work Life Balance",,3.5,3.3k,13.7k,379,32,Aviation | New Delhi +104 other locations,NA
262,Indian Air Force,"Job Security, Company Culture, Skill Development",,4.6,3.3k,5.3k,86,2,Defence & Aerospace | New Delhi +134 other locations,NA
263,Tata Technologies,"Promotions, Salary, Work Satisfaction",,3.4,3.2k,23.3k,315,156,Engineering & Construction | Pune +57 other locations,NA
264,Tata AIG,"Job Security, Company Culture, Work Life Balance",Promotions,4.0,3.2k,11.7k,196,71,Insurance | Mumbai +261 other locations,NA
265,GeBBS Healthcare Solutions,Job Security,"Promotions, Salary",3.8,3.2k,11.3k,186,76,BPO | Mumbai +26 other locations,NA
266,Canara HSBC Life Insurance,"Salary, Company Culture, Work Life Balance",,4.2,3.2k,6.3k,577,--,Insurance | Gurugram +365 other locations,NA
267,UPL,"Job Security, Work Life Balance, Skill Development",,4.1,3.2k,11.2k,223,36,Agro Chemicals | Ankleshwar +184 other locations,NA
268,Allcargo Logistics,Promotions,,3.8,3.2k,7.1k,139,24,Logistics | Mumbai +175 other locations,NA
269,PepsiCo,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.0,3.2k,14k,248,176,Food Processing | Hyderabad +280 other locations,NA
270,Max Healthcare,"Job Security, Skill Development, Company Culture",Promotions,4.0,3.2k,10.5k,190,150,Healthcare | New Delhi +77 other locations,NA
271,Sagility,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",3.9,3.2k,12.8k,251,80,BPO | Bengaluru +28 other locations,NA
272,Mankind Pharma,Salary,,3.8,3.1k,9.8k,259,6,Pharma | New Delhi +247 other locations,NA
273,Dilip Buildcon,Salary,"Promotions, Job Security",3.9,3.1k,8.1k,192,8,Engineering & Construction | Bhopal +230 other locations,NA
274,Titan Company,"Company Culture, Job Security, Work Life Balance",Promotions,4.2,3.1k,9.8k,210,70,Retail | Bengaluru +185 other locations,NA
275,Amazon Transportation Services,"Company Culture, Skill Development, Salary",,4.2,3.1k,8.6k,260,--,Logistics | Hyderabad +223 other locations,NA
276,Jindal Stainless,"Job Security, Work Life Balance, Skill Development",,4.2,3.1k,11.8k,325,79,Iron & Steel | Jajpur +77 other locations,NA
277,Marpu Foundation,"Company Culture, Work Life Balance, Work Satisfaction",,4.9,3.1k,61,266,--,Non-Profit | Hyderabad +61 other locations,NA
278,Walmart,"Promotions, Work Satisfaction, Job Security",,3.5,3.1k,24k,445,274,Retail | Bengaluru +91 other locations,NA
279,Varroc Group,"Promotions, Job Security, Company Culture",,3.6,3.1k,9.7k,225,28,Auto Components | Pune +61 other locations,NA
280,S&P Global,"Company Culture, Work Life Balance",Promotions,4.0,3.1k,20.9k,335,203,Analytics & KPO | Hyderabad +47 other locations,NA
281,Societe Generale Global Solution Centre,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",3.6,3.1k,23.5k,303,45,IT Services & Consulting | Bengaluru +23 other locations,NA
282,MSN Laboratories,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",3.6,3.1k,9.6k,180,44,Pharma | Hyderabad +105 other locations,NA
283,Quest Global,"Promotions, Salary, Work Satisfaction",,3.5,3.1k,21.8k,365,221,IT Services & Consulting | Bengaluru +49 other locations,NA
284,Afcons Infrastructure,"Job Security, Skill Development, Company Culture",,4.2,3.1k,8.7k,269,36,Engineering & Construction | Mumbai +123 other locations,NA
285,Torrent Pharmaceuticals,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",4.0,3.1k,10.5k,173,30,Pharma | Ahmedabad +131 other locations,NA
286,Ola Electric Mobility,Salary,"Job Security, Promotions, Company Culture",3.3,3.1k,9.9k,311,--,Automobile | Bengaluru +439 other locations,NA
287,ESAF Small Finance Bank,"Promotions, Work Satisfaction, Company Culture",,3.6,3k,7.6k,172,60,Banking | Thrissur +458 other locations,NA
288,IDFC FIRST Bharat,"Salary, Company Culture, Work Life Balance",,4.2,3k,5.1k,155,14,Financial Services | Chennai +442 other locations,NA
289,Future Group,"Skill Development, Company Culture, Work Life Balance",,4.2,3k,6.4k,84,--,Retail | Mumbai +207 other locations,NA
290,Square Yards,"Job Security, Company Culture, Work Life Balance",,3.5,3k,9.5k,232,92,Internet | Gurugram +51 other locations,NA
291,HDFC Sales,"Skill Development, Company Culture, Work Life Balance","Promotions, Salary",3.9,3k,8.3k,198,51,Financial Services | Mumbai +350 other locations,NA
292,Tata AutoComp Systems,Job Security,"Promotions, Salary, Company Culture",3.7,3k,9.3k,213,41,Auto Components | Pune +76 other locations,NA
293,Tata Elxsi,"Promotions, Salary, Work Satisfaction",,3.4,3k,23.9k,344,64,IT Services & Consulting | Bengaluru +30 other locations,NA
294,CMS IT Services,"Promotions, Salary, Company Culture",,3.1,3k,9.4k,160,51,IT Services & Consulting | Mumbai +153 other locations,NA
295,Zensar Technologies,Work Life Balance,"Promotions, Job Security, Work Satisfaction",3.7,3k,25.8k,283,399,IT Services & Consulting | Pune +29 other locations,NA
296,DS Group,"Work Life Balance, Company Culture, Job Security",Promotions,4.1,3k,7.4k,228,59,FMCG | Noida +286 other locations,NA
297,Bharat Financial Inclusion,Salary,"Work Satisfaction, Promotions, Work Life Balance",3.7,3k,5.5k,126,1,Financial Services | Hyderabad +505 other locations,NA
298,I Process Services,Work Life Balance,"Promotions, Salary",3.8,3k,5.7k,140,--,Recruitment | Mumbai +405 other locations,NA
299,Suzlon Group,"Job Security, Skill Development, Work Life Balance","Promotions, Salary",4.0,3k,7.8k,182,19,Power | Pune +145 other locations,NA
300,ACC,"Promotions, Job Security",,3.9,3k,9.1k,238,13,Building Material | Mumbai +274 other locations,NA
301,Fujitsu,"Work Life Balance, Company Culture",Promotions,3.8,2.9k,17.8k,214,91,IT Services & Consulting | Pune +41 other locations,NA
302,Eternal Limited,"Job Security, Promotions, Work Life Balance",,3.6,2.9k,14.9k,363,18,Internet | Gurugram +218 other locations,NA
303,Indus Towers,"Promotions, Job Security, Work Life Balance",,3.6,2.9k,9.4k,229,50,Telecom | Gurugram +241 other locations,NA
304,VVDN Technologies,"Promotions, Salary, Company Culture",,3.6,2.9k,14k,263,6,IT Services & Consulting | Gurugram +49 other locations,NA
305,Shoppers Stop,"Company Culture, Work Life Balance, Job Security",Promotions,4.0,2.9k,6.9k,146,23,Retail | Mumbai +85 other locations,NA
306,Tata Electronics,Job Security,"Promotions, Salary",3.9,2.9k,12.4k,282,121,Semiconductors | Hosur +57 other locations,NA
307,IKS Health,"Promotions, Salary, Work Satisfaction",,3.6,2.9k,11.6k,270,15,BPO | Mumbai +31 other locations,NA
308,Nokia,"Work Life Balance, Company Culture, Job Security",Promotions,4.0,2.9k,17.1k,329,219,Telecom | Bengaluru +165 other locations,NA
309,Zepto,"Job Security, Company Culture, Work Life Balance",,3.5,2.9k,10.1k,470,39,Internet | Bengaluru +107 other locations,NA
310,Yazaki,"Job Security, Skill Development",Promotions,3.9,2.9k,9.2k,191,1,Auto Components | Pune +94 other locations,NA
311,Apollo Tyres,"Company Culture, Work Life Balance, Job Security",Promotions,4.0,2.9k,10k,155,8,Auto Components | Chennai +179 other locations,NA
312,Shree Cement,"Promotions, Job Security",,3.8,2.9k,10.1k,229,10,Building Material | Beawar +260 other locations,NA
313,Fiserv,"Promotions, Job Security, Company Culture",,2.8,2.9k,17.7k,197,27,FinTech | Pune +33 other locations,NA
314,Britannia,"Job Security, Skill Development",Promotions,4.0,2.8k,8.6k,240,19,FMCG | Pune +306 other locations,NA
315,Landmark Group,Job Security,Promotions,3.8,2.8k,9.5k,178,5,Retail | Bengaluru +175 other locations,NA
316,Dalmia Bharat Cement,"Job Security, Salary",Promotions,3.9,2.8k,5.4k,206,1,Building Material | Guwahati +255 other locations,NA
317,SRF,"Job Security, Salary, Work Life Balance",Promotions,4.1,2.8k,9.1k,211,13,Chemicals | Bharuch +67 other locations,NA
318,UnitedHealth,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",4.0,2.8k,13.9k,84,--,Healthcare | Hyderabad +18 other locations,NA
319,Nestlé,Salary,"Promotions, Work Life Balance, Work Satisfaction",3.7,2.8k,10.1k,288,26,FMCG | Gurugram +281 other locations,NA
320,Blue Dart Express Ltd,"Job Security, Company Culture, Work Life Balance",Promotions,3.9,2.8k,6.9k,133,6,Logistics | Mumbai +278 other locations,NA
321,Kansai Nerolac Paints,Promotions,,3.8,2.8k,8k,197,66,Chemicals | Mumbai +258 other locations,NA
322,Exide Industries,"Promotions, Company Culture, Work Satisfaction",,3.4,2.7k,8.9k,221,55,Auto Components | Kolkata +199 other locations,NA
323,Shell,"Work Life Balance, Company Culture, Salary","Promotions, Job Security",3.9,2.7k,14.3k,239,88,Oil & Gas | Bengaluru +91 other locations,NA
324,ZS,"Work Life Balance, Work Satisfaction, Promotions",,3.1,2.7k,21.7k,528,95,Management Consulting | Pune +17 other locations,NA
325,Exl India,Job Security,"Promotions, Salary, Work Satisfaction",3.5,2.7k,17.4k,134,1,Logistics | New Delhi +45 other locations,NA
